0.143000,	-10.000000,	-13.330360
0.144000,	-32.000000,	-13.281667
0.145000,	-10.000000,	-13.231119
0.146000,	-5.000000,	-13.184596
0.147000,	-27.000000,	-13.142043
0.148000,	0.000000,	-13.103641
0.149000,	-5.000000,	-13.067553
0.150000,	-32.000000,	-13.030077
0.151000,	-10.000000,	-12.994372
0.152000,	-5.000000,	-12.964943
0.153000,	-27.000000,	-12.941208
0.154000,	-5.000000,	-12.923516
0.155000,	-5.000000,	-12.911404
0.156000,	-27.000000,	-12.901550
0.157000,	-5.000000,	-12.894079
0.158000,	-5.000000,	-12.889052
0.159000,	-27.000000,	-12.883628
0.160000,	0.000000,	-12.877718
0.161000,	-10.000000,	-12.870617
0.162000,	-27.000000,	-12.860230
0.163000,	-5.000000,	-12.849077
0.164000,	-5.000000,	-12.838582
0.165000,	-27.000000,	-12.826399
0.166000,	-5.000000,	-12.813519
0.167000,	-5.000000,	-12.800777
0.168000,	-27.000000,	-12.786005
0.169000,	5.000000,	-12.769056
0.170000,	-5.000000,	-12.747279
0.171000,	-27.000000,	-12.715787
0.172000,	-5.000000,	-12.676281
0.173000,	0.000000,	-12.630984
0.174000,	-27.000000,	-12.577709
0.175000,	-5.000000,	-12.517744
0.176000,	0.000000,	-12.452972
0.177000,	-21.000000,	-12.380802
0.178000,	-5.000000,	-12.300648
0.179000,	-10.000000,	-12.214213
0.180000,	-32.000000,	-12.124389
0.181000,	-10.000000,	-12.039251
0.182000,	-10.000000,	-11.965994
0.183000,	-27.000000,	-11.906799
0.184000,	-5.000000,	-11.864136
0.185000,	-10.000000,	-11.838434
0.186000,	-21.000000,	-11.826760
0.187000,	-10.000000,	-11.828423
0.188000,	-10.000000,	-11.843252
0.189000,	-27.000000,	-11.870189
0.190000,	-10.000000,	-11.911098
0.191000,	-10.000000,	-11.967180
0.192000,	-21.000000,	-12.036073
0.193000,	0.000000,	-12.114900
0.194000,	-5.000000,	-12.197810
0.195000,	-27.000000,	-12.277952
0.196000,	-5.000000,	-12.354665
0.197000,	-5.000000,	-12.428047
0.198000,	-32.000000,	-12.495963
0.199000,	-10.000000,	-12.561511
0.200000,	-5.000000,	-12.628480
0.201000,	-21.000000,	-12.694917
0.202000,	-5.000000,	-12.758533
0.203000,	-5.000000,	-12.816813
0.204000,	-27.000000,	-12.866462
0.205000,	-10.000000,	-12.909200
0.206000,	-5.000000,	-12.947809
0.207000,	-27.000000,	-12.981730
0.208000,	-5.000000,	-13.012124
0.209000,	-5.000000,	-13.039317
0.210000,	-27.000000,	-13.060757
0.211000,	-5.000000,	-13.077316
0.212000,	-5.000000,	-13.089776
0.213000,	-21.000000,	-13.095208
0.214000,	0.000000,	-13.092015
0.215000,	0.000000,	-13.077128
0.216000,	-21.000000,	-13.044927
0.217000,	-5.000000,	-12.994593
